M,L1,MP,OMP,SP,CoSaMP
5,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.03,0.06,0.07
20,0.13,0.0,0.16,0.27,0.3
25,0.39,0.0,0.54,0.62,0.58
30,0.75,0.0,0.75,0.81,0.81
35,0.96,0.0,0.89,0.98,0.93
40,1.0,0.0,0.94,0.99,0.98
45,1.0,0.0,0.98,1.0,1.0
50,1.0,0.0,1.0,1.0,0.99
55,1.0,0.0,0.97,1.0,1.0
60,1.0,0.0,1.0,1.0,1.0
65,1.0,0.0,1.0,1.0,1.0
70,1.0,0.0,1.0,1.0,1.0
75,1.0,0.0,1.0,1.0,1.0
80,1.0,0.0,1.0,1.0,1.0
85,1.0,0.0,1.0,1.0,1.0
90,1.0,0.0,1.0,1.0,1.0
95,1.0,0.0,1.0,1.0,1.0
100,1.0,0.0,1.0,1.0,1.0
