M,BP_time_random,BP_time_uniform,BP_freq_random,BP_freq_low,BP_freq_equispaced,BP_random_domain,OMP_time_random,OMP_time_uniform,OMP_freq_random,OMP_freq_low,OMP_freq_equispaced,OMP_random_domain
10,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.16,0.52,0.59,0.1,0.0,0.0,0.5,0.02,0.01,0.33
30,0.0,0.0,0.89,0.8,0.82,0.81,0.0,0.0,0.91,0.14,0.24,0.8
40,0.0,0.0,1.0,0.79,0.86,0.99,0.0,0.0,0.99,0.35,0.4,0.98
50,0.0,0.0,1.0,0.86,0.97,1.0,0.0,0.0,1.0,0.43,0.73,1.0
60,0.01,0.0,1.0,0.84,0.99,1.0,0.01,0.0,1.0,0.66,0.79,1.0
70,0.0,0.0,1.0,0.95,1.0,1.0,0.0,0.0,1.0,0.69,0.92,1.0
80,0.02,0.01,1.0,0.92,0.99,1.0,0.02,0.01,1.0,0.81,0.96,1.0
90,0.0,0.0,1.0,0.97,1.0,1.0,0.0,0.0,1.0,0.85,0.99,1.0
100,0.0,0.01,1.0,0.94,1.0,1.0,0.0,0.01,1.0,0.86,1.0,1.0
