phase,name,probe_kind,in_gallery,true_class,predicted_class,min_residual,residual_ratio,sparsity_concentration,rejected,correct_label
phase1,IMG_6624.jpg,my_selfie,0,-1,38,0.944723,1.002209,0.039798,0,0
phase1,IMG_6626.jpg,my_selfie,0,-1,38,0.945986,1.001746,0.043845,0,0
phase1,IMG_6628.jpg,my_selfie,0,-1,38,0.941486,1.010876,0.044207,0,0
phase1,IMG_6629.jpg,my_selfie,0,-1,11,0.948565,1.000777,0.042862,0,0
phase1,IMG_6632.jpg,my_selfie,0,-1,28,0.935192,1.004134,0.040984,0,0
phase1,IMG_6634.jpg,my_selfie,0,-1,38,0.921041,1.011422,0.056195,0,0
phase1,IMG_6656.jpg,my_selfie,0,-1,38,0.930530,1.006688,0.039657,0,0
phase1,IMG_6657.jpg,my_selfie,0,-1,38,0.939695,1.002726,0.050219,0,0
phase2,IMG_6624.jpg,my_selfie,0,-1,38,0.944723,1.002209,0.039798,1,1
phase2,IMG_6626.jpg,my_selfie,0,-1,38,0.945986,1.001746,0.043845,1,1
phase2,IMG_6628.jpg,my_selfie,0,-1,38,0.941486,1.010876,0.044207,1,1
phase2,IMG_6629.jpg,my_selfie,0,-1,11,0.948565,1.000777,0.042862,1,1
phase2,IMG_6632.jpg,my_selfie,0,-1,28,0.935192,1.004134,0.040984,1,1
phase2,IMG_6634.jpg,my_selfie,0,-1,38,0.921041,1.011422,0.056195,1,1
phase2,IMG_6656.jpg,my_selfie,0,-1,38,0.930530,1.006688,0.039657,1,1
phase2,IMG_6657.jpg,my_selfie,0,-1,38,0.939695,1.002726,0.050219,1,1
phase2,487300904_2395665860767948_985098222417996783_n.jpg,friend_selfie,0,-1,38,0.936872,1.006593,0.042582,1,1
phase2,539120817_1847484292509106_6863853165385871964_n.jpg,friend_selfie,0,-1,3,0.904386,1.029182,0.017228,1,1
phase2,539464833_122117349716957904_4767269765975689750_n.jpg,friend_selfie,0,-1,28,0.927452,1.016460,0.038165,1,1
phase4,IMG_6656.jpg,my_test,1,39,39,0.863054,1.088421,0.090992,0,1
phase4,IMG_6628.jpg,my_test,1,39,39,0.811987,1.171369,0.138618,0,1
phase4,IMG_6657.jpg,my_test,1,39,39,0.854986,1.109320,0.101623,1,0
phase4,IMG_6626.jpg,my_train,1,39,39,0.806958,1.184354,0.140137,0,1
phase4,IMG_6634.jpg,my_train,1,39,39,0.845043,1.100903,0.095397,0,1
phase4,IMG_6632.jpg,my_train,1,39,39,0.852202,1.106316,0.103696,0,1
phase4,IMG_6624.jpg,my_train,1,39,39,0.835917,1.140436,0.113022,0,1
phase4,IMG_6629.jpg,my_train,1,39,39,0.808688,1.182710,0.141520,0,1
phase4,487300904_2395665860767948_985098222417996783_n.jpg,friend_selfie,0,-1,38,0.940058,1.005327,0.041050,1,1
phase4,539120817_1847484292509106_6863853165385871964_n.jpg,friend_selfie,0,-1,3,0.904583,1.030274,0.016532,1,1
phase4,539464833_122117349716957904_4767269765975689750_n.jpg,friend_selfie,0,-1,39,0.924393,1.007738,0.047343,1,1
